id_obat,nama_obat,nama_obat_internasional,kelas_terapi,sub_kelas_terapi,sub_sub_kelas_terapi,sub_sub_sub_kelas_terapi,sediaan,kekuatan,satuan,fpktp,fpktl,pp,prb,oen,program,kanker,komposisi,restriksi_kelas_terapi,restriksi_sub_kelas_terapi,restriksi_sub_sub_kelas_terapi,restriksi_sub_sub_sub_kelas_terapi,restriksi_obat,restriksi_sediaan,peresepan_maksimal
56,albendazol,albendazole,ANTIINFEKSI,ANTELMINTIK,Antelmintik Intestinal,,SUSPENSI,200,MILIGRAM / 5 MILILITER,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,,,,,,,,
56,albendazol,albendazole,ANTIINFEKSI,ANTELMINTIK,Antelmintik Intestinal,,SUSPENSI,400,MILIGRAM / 20 MILILITER,Ya,Ya,Tidak,Tidak,Ya,Tidak,Tidak,,,,,,,,
56,albendazol,albendazole,ANTIINFEKSI,ANTELMINTIK,Antelmintik Intestinal,,TABLET,400,MILIGRAM,Ya,Ya,Tidak,Tidak,Ya,Tidak,Tidak,,,,,,,,
60,albumin serum normal (human albumin),albumin serum normal (human albumin),PRODUK DARAH dan PENGGANTI PLASMA,PENGGANTI PLASMA dan PLASMA EKSPANDER,,,INJEKSI,20,PERSEN,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,,,,,,,"Dapat digunakan pada salah satu atau lebih kondisi berikut:
a) Kadar albumin < 2,5 g/dL.
b) Kadar albumin < 2,5 g/dL pada sindrom nefrotik yang disertai edema anasarka dan/atau renjatan.
c) Diberikan apabila terdapat kondisi presyok atau syok, dan/atau untuk kasus asites masif dengan penekanan organ pernapasan atau perut.",
60,albumin serum normal (human albumin),albumin serum normal (human albumin),PRODUK DARAH dan PENGGANTI PLASMA,PENGGANTI PLASMA dan PLASMA EKSPANDER,,,INJEKSI,25,PERSEN,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,,,,,,,"Dapat digunakan pada salah satu atau lebih kondisi berikut:
a) Kadar albumin < 2,5 g/dL.
b) Kadar albumin < 2,5 g/dL pada sindrom nefrotik yang disertai edema anasarka dan/atau renjatan.
c) Diberikan apabila terdapat kondisi presyok atau syok, dan/atau untuk kasus asites masif dengan penekanan organ pernapasan atau perut.",
60,albumin serum normal (human albumin),albumin serum normal (human albumin),PRODUK DARAH dan PENGGANTI PLASMA,PENGGANTI PLASMA dan PLASMA EKSPANDER,,,INJEKSI,5,PERSEN,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,,,,,,,"a) Untuk luka bakar tingkat 2 (luas permukaan terbakar lebih dari 30%) dan kadar albumin < 2,5 g/dL.
atau
b) Untuk plasmaferesis.",Diberikan selama 24 jam. Perhitungkan kebutuhan albumin berdasarkan BB.
65,alektinib,alectinib,ANTINEOPLASTIK dan IMUNOMODULATOR,ANTINEOPLASTIK,Penghambat Protein Kinase,,KAPSUL,150,MILIGRAM,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Ya,,,,,,"a) Hanya untuk kanker paru dengan ALK positif yang locally advanced atau metastatik NSCLC pada pasien yang belum pernah mendapatkan obat golongan penghambat (inhibitor) mutasi gen ALK positif sebelumnya.
b) Diresepkan oleh dokter yang memiliki kompetensi di bidang ilmu hematologi dan onkologi medik, atau onkologi lain, atau penyakit dalam, atau penyakit paru.",,240 kapsul/bulan.
67,alendronat,alendronate,OBAT yang MEMENGARUHI STRUKTUR dan MINERALISASI TULANG,,,,TABLET,70,MILIGRAM,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,,,,,,"a) Pasien dengan osteoporosis, hasil pemeriksaan BMD DXA, T score < -2,5 (bukan BMD ultrasound); atau
b) Riwayat fraktur osteoporosis.",,4 tab/bulan.
102,alopurinol,allopurinol,"ANALGESIK, ANTIPIRETIK, ANTIINFLAMASI NON STEROID, ANTIPIRAI",ANTIPIRAI,,,TABLET,100,MILIGRAM,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,,,,,,Tidak diberikan pada saat nyeri akut.,,30 tab/bulan.
102,alopurinol,allopurinol,"ANALGESIK, ANTIPIRETIK, ANTIINFLAMASI NON STEROID, ANTIPIRAI",ANTIPIRAI,,,TABLET,300,MILIGRAM,Ya,Ya,Tidak,Tidak,Ya,Tidak,Tidak,,,,,,Tidak diberikan pada saat nyeri akut.,,60 tab/bulan.
105,alprazolam,alprazolam,PSIKOFARMAKA,ANTIANSIETAS,,,TABLET,"0,25",MILIGRAM,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,,,,,,"a) Diresepkan oleh dokter yang memiliki kompetensi di bidang ilmu kedokteran jiwa atau penyakit dalam.
b) Hanya untuk kasus:
- Panic attack
- Panic disorder",,"Maks 2 minggu/kasus, 30 tab/bulan."
105,alprazolam,alprazolam,PSIKOFARMAKA,ANTIANSIETAS,,,TABLET,"0,5",MILIGRAM,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,,,,,,"a) Diresepkan oleh dokter yang memiliki kompetensi di bidang ilmu kedokteran jiwa atau penyakit dalam.
b) Hanya untuk kasus:
- Panic attack
- Panic disorder",,"Maks 2 minggu/kasus, 30 tab/bulan."
105,alprazolam,alprazolam,PSIKOFARMAKA,ANTIANSIETAS,,,TABLET,1,MILIGRAM,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,,,,,,"a) Diresepkan oleh dokter yang memiliki kompetensi di bidang ilmu kedokteran jiwa atau penyakit dalam.
b) Hanya untuk kasus:
- Panic attack
- Panic disorder",,"Maks 2 minggu/kasus, 30 tab/bulan."
109,alteplase,alteplase,OBAT KARDIOVASKULAR,TROMBOLITIK,,,SERBUK INJEKSI,50,MILIGRAM,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Tidak,,,,,,"a) Untuk infark miokard akut dengan onset < 12 jam.
b) Untuk stroke non hemoragik dengan onset < 4,5 jam.Untuk stroke non hemoragik dengan onset < 4,5 jam.
c) Dapat diberikan di FPKTL yang memiliki fasilitas ICCU/ICU/unit stroke.
d) Kontraindikasi: tidak digunakan untuk stroke iskemik dengan riwayat perdarahan intrakranial dan cedera kepala berat dalam waktu 3 bulan terakhir, operasi mayor dalam waktu 3 bulan terakhir, riwayat gangguan koagulasi, hipertensi yang tidak terkendali.",,
137,amfoterisin B,amphotericin B,ANTIINFEKSI,ANTIFUNGI,Antifungi Sistemik,,INJEKSI,5,MILIGRAM / MILILITER,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Tidak,,,,,,,,
137,amfoterisin B,amphotericin B,ANTIINFEKSI,ANTIFUNGI,Antifungi Sistemik,,INJEKSI,50,MILIGRAM,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Tidak,,,,,,,"a) Disediakan oleh Program Kemenkes.
b) Digunakan oleh ODHIV yang mengalami Infeksi oportunistik jenis meningitis karena cryptococcus.
c) Digunakan untuk kondisi sub akut cryptococcus.
d) Pengobatan selama 14 hari.",1 x 1 vial selama 14 hari.
137,amfoterisin B,amphotericin B,OBAT untuk MATA,ANTIMIKROBA,,,SALEP MATA,1,PERSEN,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Tidak,,,,,,,,
140,amikasin,amikacin,ANTIINFEKSI,ANTIBAKTERI,Antibakteri Lain,Aminoglikosida,INJEKSI,250,MILIGRAM / MILILITER,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Tidak,,,,,,Hanya digunakan untuk infeksi oleh bakteri gram negatif yang resistan terhadap gentamisin.,,
140,amikasin,amikacin,ANTIINFEKSI,ANTIINFEKSI KHUSUS,Antituberkulosis,,INJEKSI,500,MILIGRAM,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Tidak,,,,"Catatan:
a) Disediakan oleh Program Kemenkes.
b) Penggunaan sesuai dengan Program Nasional Pengendalian TB.",,Digunakan untuk paduan pengobatan pasien TB resistan obat (TB-RO).,,
145,aminofilin,aminophylline,OBAT untuk SALURAN NAPAS,ANTIASMA,,,INJEKSI,24,MILIGRAM / MILILITER,Ya,Ya,Ya,Tidak,Tidak,Tidak,Tidak,,,,,,,,
145,aminofilin,aminophylline,OBAT untuk SALURAN NAPAS,ANTIASMA,,,TABLET,150,MILIGRAM,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,,,,,,,,
145,aminofilin,aminophylline,OBAT untuk SALURAN NAPAS,ANTIASMA,,,TABLET,200,MILIGRAM,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,,,,,,,,
149,amiodaron,amiodarone,OBAT KARDIOVASKULAR,ANTIARITMIA,,,INJEKSI,50,MILIGRAM / MILILITER,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Tidak,,,,,,,Untuk kasus rawat inap.,
149,amiodaron,amiodarone,OBAT KARDIOVASKULAR,ANTIARITMIA,,,TABLET,200,MILIGRAM,Tidak,Ya,Tidak,Ya,Ya,Tidak,Tidak,,,,,,,,30 tab/bulan.
151,amitriptilin,amitriptyline,"ANALGESIK, ANTIPIRETIK, ANTIINFLAMASI NON STEROID, ANTIPIRAI",NYERI NEUROPATIK,,,TABLET,25,MILIGRAM,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,,,,,,,,30 tab/bulan.
151,amitriptilin,amitriptyline,PSIKOFARMAKA,ANTIDEPRESI,,,TABLET,25,MILIGRAM,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,,,,,,,,60 tab/bulan.
155,amlodipin,amlodipine,OBAT KARDIOVASKULAR,ANTIHIPERTENSI,Antihipertensi Sistemik,,TABLET,10,MILIGRAM,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,,,,"Catatan:
Pemberian obat antihipertensi harus didasarkan pada prinsip dosis titrasi, mulai dari dosis terkecil hingga tercapai dosis dengan outcome tekanan darah terbaik.",,,,30 tab/bulan.
155,amlodipin,amlodipine,OBAT KARDIOVASKULAR,ANTIHIPERTENSI,Antihipertensi Sistemik,,TABLET,5,MILIGRAM,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,,,,"Catatan:
Pemberian obat antihipertensi harus didasarkan pada prinsip dosis titrasi, mulai dari dosis terkecil hingga tercapai dosis dengan outcome tekanan darah terbaik.",,,,30 tab/bulan.
155,amlodipin,amlodipine,OBAT KARDIOVASKULAR,ANTIANGINA,,,TABLET,5,MILIGRAM,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Tidak,,,,,,Untuk angina dengan bradiaritmia.,,30 tab/bulan.
161,amoksisilin,amoxicillin,ANTIINFEKSI,ANTIBAKTERI,Beta laktam,,DROPS,100,MILIGRAM / MILILITER,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,,,,,,,,1 btl/kasus.
161,amoksisilin,amoxicillin,ANTIINFEKSI,ANTIBAKTERI,Beta laktam,,SIRUP KERING,125,MILIGRAM / 5 MILILITER,Ya,Ya,Tidak,Tidak,Ya,Tidak,Tidak,,,,,,,,1 btl/kasus.
161,amoksisilin,amoxicillin,ANTIINFEKSI,ANTIBAKTERI,Beta laktam,,SIRUP KERING,250,MILIGRAM / 5 MILILITER,Ya,Ya,Tidak,Tidak,Ya,Tidak,Tidak,,,,,,,,1 btl/kasus.
161,amoksisilin,amoxicillin,ANTIINFEKSI,ANTIBAKTERI,Beta laktam,,TABLET,250,MILIGRAM,Ya,Ya,Tidak,Tidak,Ya,Tidak,Tidak,,,,,,,,10 hari.
161,amoksisilin,amoxicillin,ANTIINFEKSI,ANTIBAKTERI,Beta laktam,,TABLET,500,MILIGRAM,Ya,Ya,Tidak,Tidak,Ya,Tidak,Tidak,,,,,,,,10 hari.
166,ampisilin,ampicillin,ANTIINFEKSI,ANTIBAKTERI,Beta laktam,,INJEKSI,1,MILIGRAM,Ya,Ya,Ya,Tidak,Ya,Tidak,Tidak,,,,,,,,10 hari.
166,ampisilin,ampicillin,ANTIINFEKSI,ANTIBAKTERI,Beta laktam,,INJEKSI,250,MILIGRAM,Ya,Ya,Ya,Tidak,Ya,Tidak,Tidak,,,,,,,,10 hari.
4860,Analog Insulin Basal: insulin detemir,Analog Basal Insulin: insulin detemir,"HORMON, OBAT ENDOKRIN LAIN dan KONTRASEPSI",ANTIDIABETES,Antidiabetes Parenteral,,INJEKSI,100,"INTERNASIONAL UNIT / MILILITER (KEMASAN VIAL, DISPOSABLE CARTRIDGE, PENFILL CARTRIDGE)",Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,,,,"a) Dapat digunakan untuk pasien DM tipe 1 atau DM tipe 2.
b) Untuk DM tipe 1 dapat dimulai dengan Human Insulin atau Analog Insulin.
c) Wanita hamil yang memerlukan insulin maka diutamakan menggunakan human insulin.
d) Diperlukan kehati-hatian terhadap risiko terjadinya hipoglikemia yang penanganannya merujuk pada penatalaksanaan hipoglikemia.",,"a) Pasien diabetes melitus tipe 2 yang sudah diberikan kombinasi metformin dan obat diabetes oral lainnya dengan dosis optimal masing-masing obat telah diberikan minimal dalam 3 bulan namun kadar glukosa darahnya belum terkendali (HbA1C > 7,5% atau gula darah rerata > 169 mg/dL).
atau
b) Pasien diabetes melitus tipe 2 dengan kadar HbA1C nya > 9% disertai dengan gejala-gejala dekompensasi metabolik.
c) Pemberian insulin pada (a) dan (b) dapat dilanjutkan untuk pasien diabetes melitus tipe 2, jika insulin dibutuhkan untuk mempertahankan pengendalian glukosa darah.",,"Dalam kondisi tertentu, Dokter di FPKTP dapat melakukan penyesuaian dosis (titrasi) insulin basal hingga 20 IU/hari."
4861,Analog Insulin Basal: insulin glargine,Analog Basal Insulin: insulin glargine,"HORMON, OBAT ENDOKRIN LAIN dan KONTRASEPSI",ANTIDIABETES,Antidiabetes Parenteral,,INJEKSI,100,"INTERNASIONAL UNIT / MILILITER (KEMASAN VIAL, DISPOSABLE CARTRIDGE, PENFILL CARTRIDGE)",Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,,,,"a) Dapat digunakan untuk pasien DM tipe 1 atau DM tipe 2.
b) Untuk DM tipe 1 dapat dimulai dengan Human Insulin atau Analog Insulin.
c) Wanita hamil yang memerlukan insulin maka diutamakan menggunakan human insulin.
d) Diperlukan kehati-hatian terhadap risiko terjadinya hipoglikemia yang penanganannya merujuk pada penatalaksanaan hipoglikemia.",,"a) Pasien diabetes melitus tipe 2 yang sudah diberikan kombinasi metformin dan obat diabetes oral lainnya dengan dosis optimal masing-masing obat telah diberikan minimal dalam 3 bulan namun kadar glukosa darahnya belum terkendali (HbA1C > 7,5% atau gula darah rerata > 169 mg/dL).
atau
b) Pasien diabetes melitus tipe 2 dengan kadar HbA1C nya > 9% disertai dengan gejala-gejala dekompensasi metabolik.
c) Pemberian insulin pada (a) dan (b) dapat dilanjutkan untuk pasien diabetes melitus tipe 2, jika insulin dibutuhkan untuk mempertahankan pengendalian glukosa darah.",,"Dalam kondisi tertentu, Dokter di FPKTP dapat melakukan penyesuaian dosis (titrasi) insulin basal hingga 20 IU/hari."
4861,Analog Insulin Basal: insulin glargine,Analog Basal Insulin: insulin glargine,"HORMON, OBAT ENDOKRIN LAIN dan KONTRASEPSI",ANTIDIABETES,Antidiabetes Parenteral,,INJEKSI,300,"INTERNASIONAL UNIT / MILILITER (KEMASAN VIAL, DISPOSABLE CARTRIDGE, PENFILL CARTRIDGE)",Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,,,,"a) Dapat digunakan untuk pasien DM tipe 1 atau DM tipe 2.
b) Untuk DM tipe 1 dapat dimulai dengan Human Insulin atau Analog Insulin.
c) Wanita hamil yang memerlukan insulin maka diutamakan menggunakan human insulin.
d) Diperlukan kehati-hatian terhadap risiko terjadinya hipoglikemia yang penanganannya merujuk pada penatalaksanaan hipoglikemia.",,"a) Pasien diabetes melitus tipe 2 yang sudah diberikan kombinasi metformin dan obat diabetes oral lainnya dengan dosis optimal masing-masing obat telah diberikan minimal dalam 3 bulan namun kadar glukosa darahnya belum terkendali (HbA1C > 7,5% atau gula darah rerata > 169 mg/dL).
atau
b) Pasien diabetes melitus tipe 2 dengan kadar HbA1C nya > 9% disertai dengan gejala-gejala dekompensasi metabolik.
c) Pemberian insulin pada (a) dan (b) dapat dilanjutkan untuk pasien diabetes melitus tipe 2, jika insulin dibutuhkan untuk mempertahankan pengendalian glukosa darah.",,
4868,Analog Insulin Campuran: Co-formulation 70% insulin degludec (ultra-long acting insulin) dan 30% insulin aspart,Analog Mix Insulin: Co-formulation 70% insulin degludec (ultra-long acting insulin) and 30% insulin aspart,"HORMON, OBAT ENDOKRIN LAIN dan KONTRASEPSI",ANTIDIABETES,Antidiabetes Parenteral,,INJEKSI,100,"INTERNASIONAL UNIT / MILILITER (KEMASAN VIAL, DISPOSABLE CARTRIDGE, PENFILL CARTRIDGE)",Tidak,Ya,Tidak,Ya,Tidak,Tidak,Tidak,,,,"a) Dapat digunakan untuk pasien DM tipe 1 atau DM tipe 2.
b) Untuk DM tipe 1 dapat dimulai dengan Human Insulin atau Analog Insulin.
c) Wanita hamil yang memerlukan insulin maka diutamakan menggunakan human insulin.
d) Diperlukan kehati-hatian terhadap risiko terjadinya hipoglikemia yang penanganannya merujuk pada penatalaksanaan hipoglikemia.",,"a) Pasien diabetes melitus tipe 2 yang sudah diberikan kombinasi metformin dan obat diabetes oral lainnya dengan dosis optimal masing-masing obat telah diberikan minimal dalam 3 bulan namun kadar glukosa darahnya belum terkendali (HbA1C > 7,5% atau gula darah rerata > 169 mg/dL).
atau
b) Pasien diabetes melitus tipe 2 dengan kadar HbA1C nya > 9% disertai dengan gejala-gejala dekompensasi metabolik.
c) Pemberian insulin pada (a) dan (b) dapat dilanjutkan untuk pasien diabetes melitus tipe 2, jika insulin dibutuhkan untuk mempertahankan pengendalian glukosa darah.",,
4867,Analog Insulin Campuran: kombinasi 50% insulin protamine lispro dan 50% insulin lispro,Analog Mix Insulin: combination of 50% insulin protamine lispro and 50% insulin lispro,"HORMON, OBAT ENDOKRIN LAIN dan KONTRASEPSI",ANTIDIABETES,Antidiabetes Parenteral,,INJEKSI,100,"INTERNASIONAL UNIT / MILILITER (KEMASAN VIAL, DISPOSABLE CARTRIDGE, PENFILL CARTRIDGE)",Tidak,Ya,Tidak,Ya,Tidak,Tidak,Tidak,,,,"a) Dapat digunakan untuk pasien DM tipe 1 atau DM tipe 2.
b) Untuk DM tipe 1 dapat dimulai dengan Human Insulin atau Analog Insulin.
c) Wanita hamil yang memerlukan insulin maka diutamakan menggunakan human insulin.
d) Diperlukan kehati-hatian terhadap risiko terjadinya hipoglikemia yang penanganannya merujuk pada penatalaksanaan hipoglikemia.",,"a) Pasien diabetes melitus tipe 2 yang sudah diberikan kombinasi metformin dan obat diabetes oral lainnya dengan dosis optimal masing-masing obat telah diberikan minimal dalam 3 bulan namun kadar glukosa darahnya belum terkendali (HbA1C > 7,5% atau gula darah rerata > 169 mg/dL).
atau
b) Pasien diabetes melitus tipe 2 dengan kadar HbA1C nya > 9% disertai dengan gejala-gejala dekompensasi metabolik.
c) Pemberian insulin pada (a) dan (b) dapat dilanjutkan untuk pasien diabetes melitus tipe 2, jika insulin dibutuhkan untuk mempertahankan pengendalian glukosa darah.",,
4865,Analog Insulin Campuran: kombinasi 70% insulin protamine aspart dan 30% insulin aspart,Analog Mix Insulin: combination of 70% insulin protamine aspart and 30% insulin aspart ,"HORMON, OBAT ENDOKRIN LAIN dan KONTRASEPSI",ANTIDIABETES,Antidiabetes Parenteral,,INJEKSI,100,"INTERNASIONAL UNIT / MILILITER (KEMASAN VIAL, DISPOSABLE CARTRIDGE, PENFILL CARTRIDGE)",Tidak,Ya,Tidak,Ya,Tidak,Tidak,Tidak,,,,"a) Dapat digunakan untuk pasien DM tipe 1 atau DM tipe 2.
b) Untuk DM tipe 1 dapat dimulai dengan Human Insulin atau Analog Insulin.
c) Wanita hamil yang memerlukan insulin maka diutamakan menggunakan human insulin.
d) Diperlukan kehati-hatian terhadap risiko terjadinya hipoglikemia yang penanganannya merujuk pada penatalaksanaan hipoglikemia.",,"a) Pasien diabetes melitus tipe 2 yang sudah diberikan kombinasi metformin dan obat diabetes oral lainnya dengan dosis optimal masing-masing obat telah diberikan minimal dalam 3 bulan namun kadar glukosa darahnya belum terkendali (HbA1C > 7,5% atau gula darah rerata > 169 mg/dL).
atau
b) Pasien diabetes melitus tipe 2 dengan kadar HbA1C nya > 9% disertai dengan gejala-gejala dekompensasi metabolik.
c) Pemberian insulin pada (a) dan (b) dapat dilanjutkan untuk pasien diabetes melitus tipe 2, jika insulin dibutuhkan untuk mempertahankan pengendalian glukosa darah.",,
4866,Analog Insulin Campuran: kombinasi 75% insulin protamine lispro dan 25% insulin lispro,Analog Mix Insulin: combination of 75% insulin protamine lispro and 25% insulin lispro,"HORMON, OBAT ENDOKRIN LAIN dan KONTRASEPSI",ANTIDIABETES,Antidiabetes Parenteral,,INJEKSI,100,"INTERNASIONAL UNIT / MILILITER (KEMASAN VIAL, DISPOSABLE CARTRIDGE, PENFILL CARTRIDGE)",Tidak,Ya,Tidak,Ya,Tidak,Tidak,Tidak,,,,"a) Dapat digunakan untuk pasien DM tipe 1 atau DM tipe 2.
b) Untuk DM tipe 1 dapat dimulai dengan Human Insulin atau Analog Insulin.
c) Wanita hamil yang memerlukan insulin maka diutamakan menggunakan human insulin.
d) Diperlukan kehati-hatian terhadap risiko terjadinya hipoglikemia yang penanganannya merujuk pada penatalaksanaan hipoglikemia.",,"a) Pasien diabetes melitus tipe 2 yang sudah diberikan kombinasi metformin dan obat diabetes oral lainnya dengan dosis optimal masing-masing obat telah diberikan minimal dalam 3 bulan namun kadar glukosa darahnya belum terkendali (HbA1C > 7,5% atau gula darah rerata > 169 mg/dL).
atau
b) Pasien diabetes melitus tipe 2 dengan kadar HbA1C nya > 9% disertai dengan gejala-gejala dekompensasi metabolik.
c) Pemberian insulin pada (a) dan (b) dapat dilanjutkan untuk pasien diabetes melitus tipe 2, jika insulin dibutuhkan untuk mempertahankan pengendalian glukosa darah.",,
